ts,item_no,item,op,target,expected,actual,pass
08:45:12,2,Tasty Cheese Crackers,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:12,2,Tasty Cheese Crackers,update_single_price:woolworths,row2,wrote 3.09,wrote=True err=,PASS
08:45:12,3,Garbage Bags,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:13,3,Garbage Bags,update_single_price:coles,row3,wrote 9.94,wrote=True err=,PASS
08:45:13,4,Wholemeal Sandwich Bread,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:14,4,Wholemeal Sandwich Bread,update_single_price:woolworths,row4,wrote 36.06,wrote=True err=,PASS
08:45:14,5,Baking Paper 15m,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:14,5,Baking Paper 15m,update_single_price:coles,row5,wrote 25.68,wrote=True err=,PASS
08:45:14,6,White Soft Sandwich Bread,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:15,6,White Soft Sandwich Bread,update_single_price:woolworths,row6,wrote 24.42,wrote=True err=,PASS
08:45:15,7,Medium Sandwich bags 30Pk,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:15,7,Medium Sandwich bags 30Pk,update_single_price:coles,row7,wrote 28.2,wrote=True err=,PASS
08:45:15,8,Softner,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:16,8,Softner,update_single_price:woolworths,row8,wrote 5.26,wrote=True err=,PASS
08:45:16,9,Sandwich Icecream 4Pk,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:16,9,Sandwich Icecream 4Pk,update_single_price:coles,row9,wrote 22.07,wrote=True err=,PASS
08:45:26,10,Aluminium Foil 30m,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:26,10,Aluminium Foil 30m,update_single_price:woolworths,row10,wrote 33.49,wrote=True err=,PASS
08:45:26,11,Banana Kids 5,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:27,11,Banana Kids 5,update_single_price:coles,row11,wrote 29.43,wrote=True err=,PASS
08:45:27,12,Full Cream Milk 3L,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:27,12,Full Cream Milk 3L,update_single_price:woolworths,row12,wrote 5.93,wrote=True err=,PASS
08:45:27,13,Dare No Sugar Dbl Expresso 2L,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:28,13,Dare No Sugar Dbl Expresso 2L,update_single_price:coles,row13,wrote 6.72,wrote=True err=,PASS
08:45:28,14,Organic Free Range Eggs 12 Pack 600g,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:29,14,Organic Free Range Eggs 12 Pack 600g,update_single_price:woolworths,row14,wrote 34.93,wrote=True err=,PASS
08:45:29,15,Salted Cashews,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:29,15,Salted Cashews,update_single_price:coles,row15,wrote 5.86,wrote=True err=,PASS
08:45:29,16,Battery AAA,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:30,16,Battery AAA,update_single_price:woolworths,row16,wrote 23.68,wrote=True err=,PASS
08:45:30,17,Battery AA,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:30,17,Battery AA,update_single_price:coles,row17,wrote 5.78,wrote=True err=,PASS
08:45:30,18,Tomato,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:31,18,Tomato,update_single_price:woolworths,row18,wrote 32.87,wrote=True err=,PASS
08:45:31,19,Bounty Chocolate,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:32,19,Bounty Chocolate,update_single_price:coles,row19,wrote 22.49,wrote=True err=,PASS
08:45:32,20,Capsicum Green each,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:45:32,20,Capsicum Green each,update_single_price:woolworths,row20,wrote 24.23,wrote=True err=,PASS
08:46:18,21,Sunbites Sour 60g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:46:18,21,Sunbites Sour 60g,update_single_price:coles,row21,wrote 6.64,wrote=True err=,PASS
08:46:18,22,Corn Chips,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:19,22,Corn Chips,update_single_price:woolworths,row22,wrote 8.31,wrote=True err=,PASS
08:46:19,23,Evamay Pads With Wings Super 14 pack,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:20,23,Evamay Pads With Wings Super 14 pack,update_single_price:coles,row23,wrote 26.67,wrote=True err=,PASS
08:46:20,24,Nutella Breadsticks,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:20,24,Nutella Breadsticks,update_single_price:woolworths,row24,wrote 13.22,wrote=True err=,PASS
08:46:20,25,Mount Franklin Water 600Ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:21,25,Mount Franklin Water 600Ml,update_single_price:coles,row25,wrote 7.6,wrote=True err=,PASS
08:46:21,26,Hot Hands Hand Warmers Pair each,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:21,26,Hot Hands Hand Warmers Pair each,update_single_price:woolworths,row26,wrote 20.23,wrote=True err=,PASS
08:46:33,27,Spring Onion Bunch each,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:46:33,27,Spring Onion Bunch each,update_single_price:coles,row27,wrote 12.35,wrote=True err=,PASS
08:46:33,28,V Watermelon 250Ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:46:34,28,V Watermelon 250Ml,update_single_price:woolworths,row28,wrote 37.95,wrote=True err=,PASS
08:47:20,29,V Blackcurrent 250Ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:47:21,29,V Blackcurrent 250Ml,update_single_price:coles,row29,wrote 28.56,wrote=True err=,PASS
08:47:21,30,V Zero 250 Ml,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:47:21,30,V Zero 250 Ml,update_single_price:woolworths,row30,wrote 25.13,wrote=True err=,PASS
08:47:34,31,Red Rock Chilli Sriracha,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:47:35,31,Red Rock Chilli Sriracha,update_single_price:coles,row31,wrote 17.34,wrote=True err=,PASS
