id,ts,label,cmd,rc,secs,output_file,headline
R2-14,22:10:52,"compare empty items","compare --items ",2,1.0,R2-14_compare_empty_items.txt,""
R2-14b,22:10:53,"compare whitespace items","compare --items    ",2,1.1,R2-14b_compare_whitespace_items.txt,""
R2-12,22:11:09,"specials store coles","specials --store coles",0,5.2,R2-12_specials_store_coles.txt,"🏷️ SPECIALS — COLES"
R2-12b,22:11:38,"specials store woolworths","specials --store woolworths",0,5.8,R2-12b_specials_store_woolworths.txt,"🏷️ WOOLWORTHS SPECIALS"
R2-12c,22:11:44,"specials no flag","specials",0,5.9,R2-12c_specials_no_flag.txt,"🏷️ WOOLWORTHS SPECIALS"
R2-4c,22:12:56,"search breaker open","search --product milk",0,2.1,R2-4c_search_breaker_open.txt,"🔍 MILK — LIVE PRICES"
R2-13,22:13:17,"map unmatched next breaker","map unmatched --next",0,6.1,R2-13_map_unmatched_next_breaker.txt,"--- Item 1/3 ---"
R2-13b,22:13:43,"map unmatched next2","map unmatched --next",0,5.7,R2-13b_map_unmatched_next2.txt,"--- Item 1/3 ---"
R2-13c,22:13:50,"map unmatched next3","map unmatched --next",0,6.5,R2-13c_map_unmatched_next3.txt,"--- Item 1/3 ---"
R2-13d,22:14:15,"map unmatched skip1","map unmatched --skip",0,5.7,R2-13d_map_unmatched_skip1.txt,"✅ Skipped: Byron Bay Chilli Co. Smoky Chipotle Hot Sauce | 150mL"
R2-13e,22:14:21,"map unmatched skip2","map unmatched --skip",0,6.0,R2-13e_map_unmatched_skip2.txt,"✅ Skipped: Yallamundi Farm Organic Free Range Eggs 12 Pack | 700g"
R2-13f,22:14:33,"map unmatched next fake","map unmatched --next",0,7.0,R2-13f_map_unmatched_next_fake.txt,"--- Item 3/3 ---"
R2-4a,22:14:39,"map unmatched add breaker","map unmatched --add",1,6.3,R2-4a_map_unmatched_add_breaker.txt,"--- Item 3/3 ---"
R2-16a,22:15:10,"lists live","lists",0,5.8,R2-16a_lists_live.txt,"📊 THE 7 LISTS — LIVE COUNTS"
R2-16b,22:15:34,"map coles start","map coles",0,6.2,R2-16b_map_coles_start.txt,"(live work list: 24 of 24 missing-keyword row(s) from the sheet; file kept as the offline record)"
R2-13g,22:17:10,"map unmatched forget fake","map unmatched --forget",0,0.4,R2-13g_map_unmatched_forget_fake.txt,"✅ Forgotten: ZZVER2 Fake Debt Junk 999g | 1kg [coles] (excluded from future unmatched lists)"
R2-16c,22:17:18,"map status","map status",0,7.4,R2-16c_map_status.txt,"📊 MAP STATUS"
R2-7,22:19:15,"compare halal chicken mince","compare --items halal chicken mince",0,74.5,R2-7_compare_halal_chicken_mince.txt,"🛒 BASKET COMPARISON"
R2-1,22:20:34,"compare sugar live","compare --items sugar",0,22.8,R2-1_compare_sugar_live.txt,"🛒 BASKET COMPARISON"
R2-2,22:20:54,"compare lindt live","compare --items Lindt Hot Choc Flakes Tin 210g",0,19.5,R2-2_compare_lindt_live.txt,"🛒 BASKET COMPARISON"
R2-5,22:22:59,"wednesday dry run","wednesday --dry-run --no-prompt --no-telegram --no-scp",0,41.6,R2-5_wednesday_dry_run.txt,"📅 WEDNESDAY GROCERY SYNC"
R2-10,22:25:19,"set special note merjan","local-deals --set-special merjan zzver2 sweep canary 8.99/kg --till 12 September --note multi buy 2 for $15 and $2x",0,5.5,R2-10_set_special_note_merjan.txt,"Merjan Brothers Quality Meats special: zzver2 sweep canary /kg = 8.99 (till 12 Sep) [new row]"
R2-6a,22:25:26,"set special expired fruitopia","local-deals --set-special fruitopia zzver2 expired canary 5.55/ea --till 5 September",0,4.5,R2-6a_set_special_expired_fruitopia.txt,"Fruitopia Mt Druitt special: zzver2 expired canary /ea = 5.55 (till 5 Sep) [new row]"
R2-6b,22:25:55,"expire sweep","local-deals --expire-sweep",0,4.1,R2-6b_expire_sweep.txt,"[local-deals] expiry sweep: 2 cell(s) removed"
R2-6c,22:26:01,"expire sweep 2nd","local-deals --expire-sweep",0,3.9,R2-6c_expire_sweep_2nd.txt,"[local-deals] expiry sweep: 0 cell(s) removed"
T67a,22:29:32,"ingest post1","local-deals --ingest FRUT --no-telegram",0,9.3,T67a_ingest_post1.txt,"[ingest] FRUT: processing 3 file(s)"
